Site Name,Address 1,City,County,ZIP,site_type,Latitude,Longitude,id
AccessHealth - Stafford Center,10435 Greenbough,Stafford,Fort Bend,77477,Primary Care Site,34.207506,-90.5679543,223
St. Hope - Sugarland Community Health Center,13020 S Dairy Ashford Rd,Sugarland,Fort Bend,77478,Primary Care Site,29.6608096,-95.5982825,224
"AccessHealth - WIC Specialty Site, Wharton",210 S Rusk St,Wharton,Wharton,77488,WIC only,32.4693287,-98.6812469,225
AccessHealth - Missouri City Center,307 Texas Pkwy,Missouri City,Fort Bend,77489,Primary Care Site,29.6177769,-95.5363016,226
Spring Branch Community Health Center - Katy Clinic,5502 1st St,Katy,Harris,77493,Primary Care Site,,,227
"AccessHealth - WIC Specialty Site, Katy",1260 Pin Oak Rd,Katy,Fort Bend,77494,WIC only,29.7716048,-95.8184905,228
Pasadena Health Center - Dental,908 Southmore,Pasadena,Harris,77502,Primary Care Site,29.6897727,-95.2010877,229
Pasadena Health Center - Medical,908 Southmore,Pasadena,Harris,77502,Primary Care Site,29.6897727,-95.2010877,230
Stephen F. Austin Community Health Center - Adoue Family Health Center,1111 W Adoue St,Alvin,Brazoria,77511,Primary Care Site,29.4196141,-95.25511,231
Stephen F. Austin Community Health Center - Women and Children's Health Center,218 E House St,Alvin,Brazoria,77511,Primary Care Site,29.4180445,-95.2421057,232
Stephen F. Austin Community Health Center - Administration,1612 Callaway,Alvin,Brazoria,77511,Other services only,,,233
Chambers - Bayside Clinic,621 S Ross Sterling,Anahuac,Chambers,77514,Primary Care Site,29.9844631,-95.2488024,234
Chambers - Bayside Clinic - Anahuac I.S.D School-Based Health Center,409 S Ross Sterling,Anahuac,Chambers,77514,Primary Care Site,29.9844631,-95.2488024,235
Legacy - San Jacinto Campus,4301 Garth Rd,Baytown,Harris,77521,Primary Care Site,29.7682131,-94.9801448,236
Legacy - Deer Park,3430 Center St,Deer Park,Harris,77536,Primary Care Site,,,237
Stephen F. Austin Community Health Center - Freeport Community Health Center,905 N Gulf Blvd,Freeport,Brazoria,77541,Primary Care Site,28.9677201,-95.3688064,238
Coastal Health & Wellness - Galveston,4700 Broadway,Galveston,Galveston,77550,Primary Care Site,40.8639969,-73.9292311,239
Chambers - West Medical Center,9825 Eagle Dr,Mont Belvieu,Chambers,77580,Primary Care Site,29.8547378,-94.8635705,240
Coastal Health & Wellness - Texas City,9850 C Emmett F. Lowry Expressway,Texas City,Galveston,77591,Primary Care Site,29.404246,-95.0170814,241
St. Hope - Texas City Clinic,6801 Emmett F. Lowry Expy,Texas City,Galveston,77591,Primary Care Site,29.3939725,-94.9858081,242
Gulf Coast Health Center - Orange,1301 W Park Ave,Orange,Orange,77630,Primary Care Site,34.0592966,-117.2153227,243
Triangle Area Network - Orange,3737 N 16th St,Orange,Orange,77632,Primary Care Site,33.4909502,-112.0471344,244
Gulf Coast Health Center - Port Arthur,2548 Memorial Blvd,Port Arthur,Jefferson,77640,Primary Care Site,29.9044919,-93.9356155,245
Gulf Coast Health Center - West Side,601B W Rev Dr Ransom Howard,Port Arthur,Jefferson,77640,Primary Care Site,29.8658461,-93.9452432,246
Gulf Coast Health Center - Silsbee,710 Hwy 327 E,Silsbee,Hardin,77656,Primary Care Site,30.3488791,-94.1907474,247
Legacy - Central Beaumont,450 N 11th St,Beaumont,Jefferson,77702,Primary Care Site,39.9604487,-75.1564052,248
Triangle Area Network - Beaumont,1495 N 7th St,Beaumont,Jefferson,77702,Primary Care Site,33.5804073,-112.0651454,249
Legacy - South Park Campus,4450 Highland Ave,Beaumont,Jefferson,77705,Primary Care Site,34.0929786,-118.3386318,250
HealthPoint - Dental,624 Mary Lake,Bryan,Brazos,77801,Primary Care Site,40.5750812,-122.4327261,251
HealthPoint - Memorial,1301 Memorial Dr,Bryan,Brazos,77802,Primary Care Site,29.7628667,-95.3812562,252
HealthPoint - Bryan/College Station,3370 S Texas Ave,Bryan,Brazos,77802,Primary Care Site,28.5001915,-81.404125,253
HealthPoint - Caldwell,1103 Woodson Dr,Caldwell,Burleson,77836,Primary Care Site,38.059093,-84.7305949,254
HealthPoint - ABC,1604 Rock Prairie Rd,College Station,Brazos,77845,Primary Care Site,30.5812822,-96.289711,255
HealthPoint -  Franklin,808 W Highway 79,Franklin,Robertson,77856,Primary Care Site,31.0201858,-96.4950415,256
HealthPoint - Robertson County Community Health Center,1002 W Brown St,Hearne,Robertson,77859,Primary Care Site,43.0562921,-87.9376566,257
HealthPoint - Family Planning Hearne,709 Barton St,Hearne,Robertson,77859,Primary Care Site,31.7383727,-106.3671679,258
HealthPoint - Madisonville,100 W Cross St,Madisonville,Madison,77864,Primary Care Site,39.2767338,-76.6164783,259
HealthPoint - Navasota,1905 Dove Crossing,Navasota,Grimes,77868,Primary Care Site,30.3891054,-96.0675471,260
HealthPoint - Somerville,600 Memory Ln,Somerville,Burleson,77879,Primary Care Site,,,261
CHC of South Central Texas -  Victoria Community Dental Center,2805 Navarro St,Victoria,Victoria,77901,Primary Care Site,29.4275558,-98.4897579,262
CHC of South Central Texas -  Victoria Community Health Center,2805 Navarro St,Victoria,Victoria,77901,Primary Care Site,29.4275558,-98.4897579,263
CHC of South Central Texas -  Hallettsville WIC,318 La Grange,Hallettsville,Lavaca,77964,WIC only,,,264
CommuniCare Health Centers - Boerne Campus,430 W Bandera Rd,Boerne,Kendall,78006,Primary Care Site,29.7818249,-98.7366738,265
South Texas Rural Health Services - Administration,611 Thornton,Cotulla,La Salle,78014,Primary Care Site,39.8680412,-104.9719243,266
South Texas Rural Health Services - Cotulla Medical/Dental,105 S Stewart,Cotulla,La Salle,78014,Primary Care Site,,,267
South Texas Rural Health Services - Cotulla Wellness Center,105 S Stewart,Cotulla,La Salle,78014,Primary Care Site,,,268
Vida y Salud - WIC Project #19-03,216 N Center St,Cotulla,La Salle,78014,WIC only,33.4201826,-111.8318396,269
South Texas Rural Health Services - Devine Wellness Center,1010 Hondo Ave,Devine,Medina,78016,Primary Care Site,29.1472609,-98.9160889,270
South Texas Rural Health Services - Devine Medical/Dental,1010 W Hondo Ave,Devine,Medina,78016,Primary Care Site,29.1472609,-98.9160889,271
South Texas Rural Health Services - Dilley Medical,606 W Leona,Dilley,Frio,78017,Primary Care Site,28.6691698,-99.1779954,272
South Texas Rural Health Services - Dilley Wellness Center,606 W Leona,Dilley,Frio,78017,Primary Care Site,28.6691698,-99.1779954,273
South Texas Rural Health Services - Encinal Medical,100 S Main St,Encinal,La Salle,78019,Primary Care Site,33.7409612,-117.8676736,274
"Gateway Community Health Center, Inc.",1515 Pappas St,Laredo,Webb,78041,Primary Care Site,27.5355416,-99.4762006,275
"Gateway Community Health Center, Inc. - South Clinic",2007 S Zapata Hwy,Laredo,Webb,78046,Primary Care Site,27.4727887,-99.4760072,276
Atascosa - Lytle Community Health Center,15033 Main St,Lytle,Atascosa,78052,Primary Care Site,40.1851828,-79.8688837,277
South Texas Rural Health Services - Pearsall Medical/Dental,150 Medical Dr,Pearsall,Frio,78061,Primary Care Site,29.8001321,-98.7202254,278
South Texas Rural Health Services - Pearsall Wellness Center,158 Medical Dr,Pearsall,Frio,78061,Primary Care Site,29.5117274,-98.5703787,279
"Atascosa Health Center, Inc.",310 W Oaklawn,Pleasanton,Atascosa,78064,Primary Care Site,35.4920153,-89.7373867,280
Atascosa Health Center,310 West Oaklawn,Pleasanton,Atascosa,78064,Primary Care Site,35.4920153,-89.7373867,281
CentroMed - Maria Castro Flores Clinic,7315 S Loop 1604 W,Somerset,Bexar,78069,Primary Care Site,29.2288941,-98.644956,282
Atascosa - Live Oak Community Health Center,105 E Thornton St,Three Rivers,Live Oak,78071,Primary Care Site,28.4584277,-98.176411,283
Atascosa - McMullen Community Health Center,203 Hackberry St,Tilden,McMullen,78072,Primary Care Site,29.0306716,-95.3940356,284
"Gateway Community Health Center, Inc. - Mobile Dental Clinic",210 N Rathmell Ave,Zapata,Zapata,78076,Other services only,54.0362079,-2.30019,285
"Gateway Community Health Center, Inc. - Zapata Clinic",210 N Rathmell Ave,Zapata,Zapata,78076,Primary Care Site,54.0362079,-2.30019,286
"Community Action Corp - Integration Center, Beeville",2808 Industrial Loop,Beeville,Bee,78102,Primary Care Site,34.2543302,-110.000491,287
Community Action Corp - Beeville,301 SouthHill Side Dr,Beeville,Bee,78102,Primary Care Site,32.5350943,-110.8928281,288
Atascosa - Wilson Community Health Center,540 10th St,Floresville,Wilson,78114,Primary Care Site,,,289
Atascosa - Karnes Community Health Center,302 N Butler,Karnes City,Karnes,78118,Primary Care Site,40.8611755,-79.8953328,290
CentroMed - House of Hope Dental Clinic,256 Krueger Ave,New Braunfels,Comal,78130,Primary Care Site,44.6912849,-87.4768007,291
CentroMed - County Line Clinic,1034 W County Line,New Braunfels,Comal,78130,Primary Care Site,35.1899315,-106.4954984,292
CHC of South Central Texas -  Nixon WIC,207 S Washington Ave,Nixon,Gonzales,78140,WIC only,43.4318198,-83.9398576,293
CHC of South Central Texas -  Seguin Family Health Center,1104 Jefferson St,Seguin,Guadalupe,78155,Primary Care Site,40.5847163,-85.8733804,294
CHC of South Central Texas -  Seguin Community Dental Center,1201 W Court St,Seguin,Guadalupe,78155,Primary Care Site,34.0668175,-118.2622925,295
CHC of South Central Texas -  Seguin Community Health Center,1201 W Court St,Seguin,Guadalupe,78155,Primary Care Site,34.0668175,-118.2622925,296
CommuniCare Health Centers - Downtown Campus,311 Camden,San Antonio,Bexar,78205,Primary Care Site,29.434691,-98.49235,297
CommuniCare Health Centers - West Campus,1102 Barclay St,San Antonio,Bexar,78207,Primary Care Site,29.4098545,-98.5421474,298
CentroMed - Sarah E. Davidson Homeless Clinic,1 Haven for Hope Way,San Antonio,Bexar,78207,Primary Care Site,29.4329863,-98.5071824,299
CentroMed - Santa Rosa Pavilion Clinic,315 N San Saba,San Antonio,Bexar,78207,Primary Care Site,29.4278921,-98.5001541,300
CentroMed - South Park Medical,6315 S Zarzamora,San Antonio,Bexar,78211,Primary Care Site,29.3651912,-98.5346389,301
CentroMed - South Park Dental,910 Wagner,San Antonio,Bexar,78211,Primary Care Site,,,302
CentroMed - South Park Pharmacy,918 Wagner,San Antonio,Bexar,78211,Other services only,,,303
CommuniCare Health Centers - Metropolitan Campus,1200 Brooklyn Ave,San Antonio,Bexar,78212,Primary Care Site,29.4401637,-98.4905063,304
CommuniCare Health Centers - West Commerce,2614 W Commerce St,San Antonio,Bexar,78212,Primary Care Site,29.4277038,-98.5241719,305
CentroMed - Davidson House Respite Care Shelter Clinic,605 Belknap Place,San Antonio,Bexar,78212,Primary Care Site,29.463102,-98.4973965,306
CentroMed - Respite Day Care Shelter Clinic,510 Belknap Place,San Antonio,Bexar,78212,Other services only,29.463102,-98.4973965,307
CentroMed - WIC Nutrition Program (Walzem Rd),5255 Walzem Rd,San Antonio,Bexar,78218,WIC only,29.5112599,-98.3859864,308
CentroMed - Noemi Galvan Eling Clinic,5542 Walzem Rd,San Antonio,Bexar,78218,Primary Care Site,29.5090482,-98.3779018,309
CommuniCare Health Centers - East Campus,3066 E Commerce,San Antonio,Bexar,78220,Primary Care Site,,,310
CentroMed - WIC Nutrition Program (Military Dr),910 SW Military Dr,San Antonio,Bexar,78221,WIC only,29.356379,-98.5063294,311
"CentroMed - Health and Wellness Center, Southside Medical Clinic",3750 Commercial Ave,San Antonio,Bexar,78221,Primary Care Site,29.3358183,-98.5152194,312
CentroMed - CentroFitness & Encino Ballroom,3800 Commercial Ave,San Antonio,Bexar,78221,Other services only,29.3350016,-98.5153359,313
CentroMed - City Base Clinic,3127 SE Military Dr,San Antonio,Bexar,78223,Primary Care Site,29.3539293,-98.4394147,314
CentroMed - Palo Alto Clinic,9011 Poteet Jourdanton Hwy 16,San Antonio,Bexar,78224,Primary Care Site,29.3334405,-98.5517673,315
CentroMed - Children's Residential Treatment Center Clinic,4040 High Ridge Cr,San Antonio,Bexar,78229,Other services only,49.2344847,-124.0877079,316
CommuniCare Health Centers - Northwest Campus,8210 Callaghan Rd,San Antonio,Bexar,78230,Primary Care Site,29.5136333,-98.5492272,317
CommuniCare Health Centers - Shavano Park,3619 Paesanos Pkwy,San Antonio,Bexar,78231,Primary Care Site,29.5995872,-98.554162,318
CommuniCare Health Centers - Hill Country Village Campus,14811 San Pedro Ave,San Antonio,Bexar,78232,Primary Care Site,29.5771488,-98.4788662,319
CommuniCare Health Centers - Las Palmas WIC Campus,803 Castroville Rd,San Antonio,Bexar,78237,WIC only,29.418302,-98.5519531,320
CentroMed - Medina Base Clinic,5750 Medina Base Rd,San Antonio,Bexar,78242,Primary Care Site,29.3644814,-98.6102912,321
CommuniCare Health Centers - Potranco Campus,9594 Potranco Rd,San Antonio,Bexar,78251,Primary Care Site,29.4392671,-98.6736061,322
"Community Action Corp - Integration Center, Alice",614 W Front St,Alice,Jim Wells,78332,Primary Care Site,40.1239172,-74.8144307,323
Community Action Corp - Alice,700 Flournoy Rd,Alice,Jim Wells,78332,Primary Care Site,32.333449,-83.6326214,324
Community Action Corp - Duval,115 W Main,Benavides,Duval,78341,Primary Care Site,,,325
Community Action Corp - Falfurrias,1302 S Saint Mary's St,Falfurrias,Brooks,78355,Primary Care Site,29.4094043,-98.4871799,326
"Community Action Corp - Integration Center, Falfurrias",101 W Potts,Falfurrias,Brooks,78355,Primary Care Site,,,327
"Gateway Community Health Center, Inc. - Hebbronville Clinic",473 State Hwy 285,Hebbronville,Jim Hogg,78361,Primary Care Site,27.2992942,-98.673854,328
"Community Action Corp - Integration Center, Kingsville",1621 E Corral St,Kingsville,Kleberg,78363,Primary Care Site,33.4310003,-112.3383078,329
Community Action Corp - Kleberg,1311 E General Cavazos Blvd,Kingsville,Kleberg,78363,Primary Care Site,27.4900634,-97.8506501,330
Community Action Corp - School Based Health Center,502 E San Patricio Ave,Mathis,San Patricio,78368,Primary Care Site,28.0911457,-97.8245891,331
Community Action Corp - Sinton,621 E Sinton,Sinton,San Patricio,78387,Primary Care Site,28.0366335,-97.5009498,332
"Community Action Corp - Integration Center, Taft",201 Roots Ave,Taft,San Patricio,78390,Primary Care Site,27.974225,-97.386467,333
Amistad Community Health Center,1533 S Brownlee Blvd,Corpus Christi,Nueces,78404,Primary Care Site,27.7750586,-97.4049653,334
Coastal Bend Wellness Foundation,5633 S Staples,Corpus Christi,Nueces,78411,Primary Care Site,27.6996575,-97.376128,335
Su Clinica - Brownsville Clinic,105 E Alton Gloor,Brownsville,Cameron,78520,Primary Care Site,25.9804278,-97.5143177,336
Valley AIDS Council,857 E Washington,Brownsville,Cameron,78520,Other services only,47.7510741,-120.7401386,337
Brownsville Community Health Center - 22nd Street,2137 E 22nd St,Brownsville,Cameron,78521,Primary Care Site,32.2072063,-110.9401969,338
Brownsville Community Health Center - New Horizon Medical,95 E Price Rd,Brownsville,Cameron,78521,Primary Care Site,25.9333955,-97.4711431,339
Brownsville Community Health Center - New Horizon Medical Center,191 E Price Rd,Brownsville,Cameron,78521,Primary Care Site,25.9315018,-97.4625673,340
Brownsville Community Health Center,191 East Price Road,Brownsville,Cameron,78521,Primary Care Site,43.6773728,-84.3624942,341
Nuestra Clinica del Valle - Donna,301 S 17th St,Donna,Hidalgo,78537,Primary Care Site,26.1665632,-98.0456388,342
Nuestra Clinica del Valle - Edcouch,1518 E Santa Rosa,Edcouch,Hidalgo,78538,Primary Care Site,38.440429,-122.7140548,343
Nuestra Clinica del Valle - San Carlos,300 N 86th St,Edinburg,Hidalgo,78541,Primary Care Site,40.8156761,-96.6037225,344
Su Clinica - Harlingen Clinic,1706 Treasure Hills Blvd,Harlingen,Cameron,78550,Primary Care Site,26.1720702,-97.667443,345
"Valley AIDS Council - Westbrook Clinic, 2nd Street",2306 Camelot Plaza Cir,Harlingen,Cameron,78550,Other services only,26.1687555,-97.6719792,346
Su Clinica Familiar,1706 Treasure Hills Blvd.,Harlingen,Cameron,78550,Primary Care Site,26.1720702,-97.667443,347
Nuestra Clinica del Valle - Mercedes,1500 First St,Mercedes,Hidalgo,78570,Primary Care Site,,,348
Nuestra Clinica del Valle - Mission,611 N Bryan Rd,Mission,Hidalgo,78572,Primary Care Site,26.0596174,-80.1561317,349
Nuestra Clinica del Valle - Memorial,201 S Los Ebanos Blvd,Alton,Hidalgo,78574,Primary Care Site,26.2882519,-98.330366,350
Su Clinica - Raymondville Clinic,131 FM 3168,Raymondville,Willacy,78580,Primary Care Site,26.4676563,-97.7836115,351
Nuestra Clinica del Valle - Rio Grande City,600 N Garza St,Rio Grande City,Starr,78582,Primary Care Site,26.3821422,-98.8145278,352
Nuestra Clinica del Valle - Roma,2891 E Grant,Roma,Starr,78584,Primary Care Site,,,353
Nuestra Clinica del Valle - Women's Health Clinic,806 W 3rd St,San Juan,Hidalgo,78589,Primary Care Site,34.0689466,-118.3224518,354
Nuestra Clinica del Valle - San Juan,801 W 1st St,San Juan,Hidalgo,78589,Primary Care Site,34.0551879,-118.2477352,355
Nuestra Clinica del Valle - PSJA School Based Clinic,2900 N Raul Longoria Rd,San Juan,Hidalgo,78589,Primary Care Site,26.2221628,-98.1469507,356
Nuestra Clinica Del Valle,801 W. 1st Street,San Juan,Hidalgo,78589,Primary Care Site,34.0551879,-118.2477352,357
Su Clinica - Santa Rosa Clinic,Hwy 107 & La Feria Ave,Santa Rosa,Cameron,78593,Primary Care Site,26.2551153,-97.825394,358
Su Clinica - Santa Rosa Dental,Hwy 107 & La Feria Ave,Santa Rosa,Cameron,78593,Other services only,26.2551153,-97.825394,359
CHC of South Central Texas -  Bastrop Community Health Center,275 Jackson St,Bastrop,Bastrop,78602,Primary Care Site,30.100013,-97.3061654,360
Lone Star Circle - Bastrop Community Health Clinic,605 Old Austin Hwy,Bastrop,Bastrop,78602,Primary Care Site,30.1118749,-97.3382376,361
"Lone Star Circle - Dell Children's, Circle of Care Pediatrics at Whitestone",1730 E Whitestone Blvd,Cedar Park,Williamson,78613,Primary Care Site,30.5282973,-97.8021703,362
CommUnityCare - Del Valle,3518 FM 973,Del Valle,Travis,78617,Primary Care Site,30.1987984,-97.6422024,363
Lone Star Circle - Georgetown Women's Center,1900 Scenic Dr,Georgetown,Williamson,78626,Primary Care Site,37.6528014,-120.9542254,364
Lone Star Circle - Lake Aire Medical Center,2423 Williams Dr,Georgetown,Williamson,78628,Primary Care Site,30.6605928,-97.6879643,365
Lone Star Circle - Dental Center,2411 Williams Dr,Georgetown,Williamson,78628,Primary Care Site,30.6597419,-97.6880067,366
CHC of South Central Texas - Elgin Family Health Center at Elgin ISD,902 W 2nd St,Elgin,Bastrop,78629,Primary Care Site,34.056429,-118.2536167,367
CHC of South Central Texas -  Gonzales Community Dental Clinic,228 St. George St,Gonzales,Gonzales,78629,Primary Care Site,29.8909584,-81.3124243,368
CHC of South Central Texas -  Gonzales Community Health Center,228 St. George St,Gonzales,Gonzales,78629,Primary Care Site,29.8909584,-81.3124243,369
CHC of South Central Texas -  Gonzales WIC,228 St. George St,Gonzales,Gonzales,78629,WIC only,29.8909584,-81.3124243,370
CHC of South Central Texas -  Gonzales Admin and WIC,229 St. George St,Gonzales,Gonzales,78629,Primary Care Site,29.8909563,-81.3124237,371
"Lone Star Circle - Dell Children's, Circle of Care Pediatrics at Hutto",123 Ed Schmidt Blvd,Hutto,Williamson,78634,Primary Care Site,30.5415533,-97.563773,372
CommuniCare Health Centers - Kyle Campus,2810 Dacy Ln,Kyle,Hays,78640,Primary Care Site,30.0147388,-97.8400966,373
CHC of South Central Texas -  Lockhart Family Practice Center,2060 S Colorado St,Lockhart,Caldwell,78644,Primary Care Site,31.9880203,-102.0765756,374
CHC of South Central Texas -  Luling Community Health Center,111 S Laurel St,Luling,Caldwell,78648,Primary Care Site,34.2289604,-92.0083621,375
CHC of South Central Texas -  Luling Community Dental Center,651 S Crockett St,Luling,Caldwell,78648,Primary Care Site,33.6307075,-96.6088022,376
CommUnityCare - Manor,600 W Carrie Manor St,Manor,Travis,78653,Primary Care Site,30.3401423,-97.563784,377
People's Community Clinic - Manor Mustang Health Center,10335 US Hwy 290 E,Manor,Travis,78653,Primary Care Site,30.1321694,-96.2360406,378
Lone Star Circle - Family Care Center at Marble Falls,802 Ave J,Marble Falls,Burnet,78654,Primary Care Site,40.6242778,-73.967763,379
CommUnityCare - Pflugerville,15822 Foothill Farms Loop,Pflugerville,Travis,78660,Primary Care Site,30.4489498,-97.6518864,380
Lone Star Circle - Round Rock Health Clinic,2120 N Mays,Round Rock,Williamson,78664,Primary Care Site,30.529347,-97.6891516,381
Lone Star Circle - Texas A&M Health Science Center,3950 N A.W. Grimes Blvd,Round Rock,Williamson,78665,Primary Care Site,30.5443496,-97.6496422,382
CommuniCare Health Centers - San Marcos Campus,1340 Wonder World Dr,San Marcos,Hays,78666,Primary Care Site,29.8499388,-97.9461979,383
CommuniCare Health Centers - Wimberley Campus,203 Stillwater,Wimberley,Hays,78676,Primary Care Site,,,384
Lone Star Circle - Round Rock OB/GYN,2300 Round Rock Ave,Round Rock,Williamson,78681,Primary Care Site,30.5104905,-97.7140137,385
CommUnityCare - Blackstock,1313 Red River,Austin,Travis,78701,Primary Care Site,32.76619676,-95.78772638,386
CommUnityCare - Complex Primary Care Health Center,"1400 N IH 35, Suite 2.450",Austin,Travis,78701,Primary Care Site,30.2736667,-97.7326615,387
CommUnityCare - Austin Resource Center for the Homeless (ARCH),500 E 7th St,Austin,Travis,78701,Primary Care Site,30.2678638,-97.7375115,388
CommUnityCare - Sandra Joy Anderson Community Health and Wellness Center,1705 E 11th St,Austin,Travis,78702,Primary Care Site,30.2664163,-97.7222151,389
CommUnityCare - East Austin,211 Comal St,Austin,Travis,78702,Primary Care Site,30.2595009,-97.7275233,390
CommUnityCare - South Austin,2529 S First St,Austin,Travis,78704,Primary Care Site,40.0814852,-88.2384626,391
CommUnityCare - South Austin Dental Clinic,2529 S First St,Austin,Travis,78704,Primary Care Site,40.0814852,-88.2384626,392
CommUnityCare - Ben White Dental,1221 W Ben White,Austin,Travis,78704,Primary Care Site,30.2272657,-97.7753755,393
Lone Star Circle - Ben White Health Clinic,1221 W Ben White Blvd,Austin,Travis,78704,Primary Care Site,30.2270116,-97.7787071,394
People's Community Clinic - Center for Women's Health,2909 N IH 35,Austin,Travis,78722,Primary Care Site,30.2874814,-97.7232111,395
People's Community Clinic - Austin Children's Shelter,4800 Manor Rd,Austin,Travis,78723,Other services only,30.295962,-97.690127,396
CommUnityCare - Community First Health Center,9301 Hog Eye Rd,Austin,Travis,78724,Primary Care Site,30.2821978,-97.6229954,397
CommUnityCare - Oak Hill,8656-A Hwy 71 W,Austin,Travis,78735,Primary Care Site,31.414232,-92.5033119,398
CommUnityCare - Southeast Health & Wellness Center,2901 Montopolis Dr,Austin,Travis,78741,Primary Care Site,30.2143153,-97.7096793,399
CommUnityCare - Southeast Health & Wellness Center Dental,2901 Montopolis Dr,Austin,Travis,78741,Primary Care Site,30.2143153,-97.7096793,400
CommUnityCare - Austin Travis County Integral Care #3 (referral only),5015 S IH 35,Austin,Travis,78744,Primary Care Site,30.2038328,-97.7558139,401
CommUnityCare - William Cannon,6801 S IH 35,Austin,Travis,78744,Primary Care Site,30.1877141,-97.7708312,402
CommUnityCare - Austin Travis County Integral Care #2 (referral only),1631 E Second St,Austin,Travis,78745,Primary Care Site,30.221614,-97.774075,403
Lone Star Circle - Pediatrics at Stassney,730 W Stassney Ln,Austin,Travis,78745,Unknown,30.2091548,-97.7834734,404
CommUnityCare - David Powell-HIV/AIDS Clinic,4614 N IH 35,Austin,Travis,78751,Primary Care Site,30.3054175,-97.7139584,405
CommUnityCare - Hancock,1000 E 41st,Austin,Travis,78751,Primary Care Site,,,406
People's Community Clinic,1101 Camino la Costa,Austin,Travis,78752,Primary Care Site,30.32414,-97.6993963,407
CommUnityCare - Austin Travis County Integral Care #1 (referral only),825 E Rundberg,Austin,Travis,78753,Primary Care Site,30.3564789,-97.6858016,408
CommUnityCare - Rundberg,825 E Rundberg Ln,Austin,Travis,78753,Primary Care Site,30.3564789,-97.6858016,409
CommUnityCare - North Central,1210 W Braker Ln,Austin,Travis,78758,Primary Care Site,30.3857717,-97.6939135,410
CommUnityCare - North Central Dental Clinic,1210 W Braker Ln,Austin,Travis,78758,Primary Care Site,30.3857717,-97.6939135,411
Lone Star Circle - Family Care Center at Northwest,11111 Research Blvd,Austin,Travis,78759,Primary Care Site,30.4054411,-97.7437953,412
Community Health - Uvalde County Jail Clinic,339 King Fisher Ln,Uvalde,Uvalde,78801,Primary Care Site,51.4307913,-1.2783808,413
Community Health - Our Health/Nuestro Centro de Salud,200 S Evans St,Uvalde,Uvalde,78801,Primary Care Site,32.7048896,-117.1354708,414
"Community Health - Center for Community Wellness, Administration Building",908 S Evans St,Uvalde,Uvalde,78801,Administrative only,32.6992299,-117.1412404,415
"Community Health - Center for Community Wellness, Dental Dept. & Teaching Kitchen",908 S Evans St,Uvalde,Uvalde,78801,Primary Care Site,32.6992299,-117.1412404,416
"Community Health - Center for Community Wellness, Fitness Center",908 S Evans St,Uvalde,Uvalde,78801,Other services only,32.6992299,-117.1412404,417
South Texas Rural Health Services - Uvalde Wellness Center,1815 Garnerfield Rd,Uvalde,Uvalde,78801,Primary Care Site,29.218022,-99.7540807,418
"Community Health Development, Inc.",201 South Evans Street,Uvalde,Uvalde,78801,Primary Care Site,32.7048937,-117.1354671,419
Vida y Salud - WIC Project #19-04,400 S Getty St,Uvalde,Uvalde,78801,WIC only,29.2051159,-99.7838594,420
South Texas Rural Health Services - Big Wells Medical,1502 Grand Ave,Big Wells,Dimmit,78830,Primary Care Site,43.1921705,-79.5264961,421
United Medical Centers - James Street,202 James St,Brackettville,Kinney,78832,Primary Care Site,33.4484643,-82.1881236,422
United Medical Centers - Brackettville,201 James St,Brackettville,Kinney,78832,WIC only,-27.4628526,153.0473344,423
Community Health - Canyon Health Center,700 Frio St,Campwood,Real,78833,Primary Care Site,29.419577,-98.5046616,424
South Texas Rural Health Services - Carrizo Springs Medical/Dental,902 S 5th St,Carrizo Springs,Dimmit,78834,Primary Care Site,44.9724677,-93.2556345,425
South Texas Rural Health Services - Carrizo Springs Wellness Center,902-B South 5th Street,Carrizo Springs,Dimmit,78834,Primary Care Site,39.9327505,-75.1527822,426
Vida y Salud - WIC Project #19-02,109-B N 1st,Carrizo Springs,Dimmit,78834,WIC only,,,427
Vida y Salud - CCISD School Based Clinic,909 Airport Dr,Crystal City,Zavala,78839,Primary Care Site,42.208106,-89.0906905,428
Vida y Salud - WIC Project #19-01,308 Cesar Chavez Ave,Crystal City,Zavala,78839,WIC only,34.0575129,-118.2352319,429
"Vida y Salud Health Systems, Inc.",308 Cesar Chavez Ave,Crystal City,Zavala,78839,Primary Care Site,34.0575129,-118.2352319,430
United Medical Centers - Main Street,913 S Main St,Del Rio,Val Verde,78840,Primary Care Site,35.5710488,-78.8002777,431
United Medical Centers - Bedell Avenue Clinic,2209 Bedell Ave,Del Rio,Val Verde,78840,Primary Care Site,29.3903915,-100.9012069,432
United Medical Centers - San Felipe Clinic,1117 W De La Rosa,Del Rio,Val Verde,78840,Primary Care Site,29.3621394,-100.8871035,433
United Medical Centers - San Felipe Dental Clinic,1117 W De La Rosa,Del Rio,Val Verde,78840,Primary Care Site,29.3621394,-100.8871035,434
South Texas Rural Health Services - Eagle Pass Wellness Center,2250 N Veterans Blvd,Eagle Pass,Maverick,78852,Primary Care Site,26.2119932,-98.1642265,435
United Medical Centers - Eidson Road Clinic,1175 Eidson Rd,Eagle Pass,Maverick,78852,Primary Care Site,28.6931956,-100.4866871,436
United Medical Centers - Eidson Road WIC Program,1175 Eidson Rd,Eagle Pass,Maverick,78852,WIC only,28.6931956,-100.4866871,437
